Id,Entidad financiera,Dirección,Localidad,CP,Telediscado,Teléfono,Fax,Caj.Aut.,Latitud,Longitud
6152,BANCO SANTANDER ARGENTINA S.A.,JUAN D PERON 34 PB DPTO: 1,CONCEPCION DEL URUGUAY,E3264CJB,,,,NO,32.484961,58.23121
6153,BANCO MACRO S.A.,LEANDRO N. ALEM 12 PB,CONCEPCION DEL URUGUAY,E3264CRB,,,,NO,-32.485796,-58.234513
6154,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,1° DE MAYO 91,CONCORDIA,E3200EDA,,,,NO,-31.397862,-58.016987
6155,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. EVA PERON S/N,CONCORDIA,E3205AZA,,,,NO,-31.346951,-58.00465
6156,NUEVO BANCO DE ENTRE RÍOS S.A.,AV. MONSEÑOR ROSCH 4900 Y C. PEÑALOZA,CONCORDIA,E3201XAJ,,,,NO,-31.2049,-58.01001
6157,BANCO SANTANDER ARGENTINA S.A.,AVENIDA EVA PERON 1134 PB DPTO: 1,CONCORDIA,E3200AIN,,,,NO,31.385076,58.010551
6158,BANCO DE LA NACION ARGENTINA,CARLOS PELLEGRINI 651,CONCORDIA,E3200AMK,,,,NO,-31.39691,-580.1651
6159,BANCO HIPOTECARIO S.A.,CARLOS PELLEGRINI 699,CONCORDIA,E3200AMK,,,,NO,-31.396183,-58.016397
6160,NUEVO BANCO DE ENTRE RÍOS S.A.,ENTRE RIOS 606,CONCORDIA,E3200ABL,,,,NO,-31.23508,-58.01079
6161,BANCO BBVA ARGENTINA S.A.,ENTRE RIOS 640,CONCORDIA,E3200ABL,,,,NO,-31.396833,-58.018696
6162,BANCO CREDICOOP COOPERATIVO LIMITADO,MENDIBURU 309,CONCORDIA,E3202HDG,,,,NO,-31.382251,-58.0237
6163,NUEVO BANCO DE ENTRE RÍOS S.A.,MITRE 32,CONCORDIA,E3200EFB,,,,NO,-31.23481,-58.01049
6164,NUEVO BANCO DE ENTRE RÍOS S.A.,MONS DOBLER Y PEREZ 00,CONCORDIA,E3202IBH,,,,NO,-31.22321,-58.01161
6165,BANCO DE LA NACION ARGENTINA,MONSEÑOR TAVELLA 1424,CONCORDIA,E3202KAP,,,,NO,-31.391847,-580.170605
6166,NUEVO BANCO DE ENTRE RÍOS S.A.,MONSEÑOR TAVELLA S / N,CONCORDIA,E3202IBH,,,,NO,-31.22321,-58.01161
6167,NUEVO BANCO DE ENTRE RÍOS S.A.,MONSEÑOR TAVELLA S/N,CONCORDIA,E3202IBH,,,,NO,-31.22321,-58.01161
6168,NUEVO BANCO DE ENTRE RÍOS S.A.,MONSEÑOR TAVELLA S/N Y GREGORIA PEREZ,CONCORDIA,E3202IBH,,,,NO,-31.22321,-58.01161
6169,BANCO CREDICOOP COOPERATIVO LIMITADO,SAN MARTIN 14,CONCORDIA,E3202FUB,,,,NO,-31.396511,-58.019716
